,Source,Headline,C/I,Full Text,Full Text Link,Date
0,The Guardian,‘He helped shape the modern world’ Gif inventor Stephen Wilhite dies after getting Covid,C,"He created the image file format that defined an internet culture for decades in 1987 while working at CompuServe
If a picture is worth a thousand words, then a gif is worth millions. The image file format has been a defining element of internet culture for decades, with glass-raising DiCaprios and mic-dropping Obamas facilitating self-expression in a faceless digital world. And we have one man to thank for all the jokes, snark and praise: Stephen Wilhite, inventor of the gif, who died last week, aged 74.

Wilhite, who lived in Milford, Ohio, contracted Covid two weeks before his death, his wife, Kathaleen Wilhite, told NPR.

A lifelong coder, Stephen Wilhite created the gif in 1987 while working at CompuServe. The compressed image files were useful at a time when internet connections dragged. “If you want lossless, compressed graphics, there is nothing better than gif,” said Sandy Trevor, who managed Wilhite’s team, to the Daily Dot in 2012.
Wilhite “invented gif all by himself – he actually did that at home and brought it into work after he perfected it”, said Kathaleen Wilhite to the Verge. “He would figure out everything privately in his head and then go to town programming it on the computer.” It was his proudest achievement, she said.

The same year, an update led to animated graphics. “I think the first gif was a picture of a plane. It was a long time ago,” Stephen Wilhite told the Daily Dot in 2012. Indeed, according to Giphy, the go-to site for gif seekers, it was this image:

Wilhite worked for Compuserve until 2001, after he had a stroke. Meanwhile, gifs’ popularity took off, including on early social media sites such as MySpace. By 1996, the “dancing baby” image – one of Wilhite’s favorites, he told the New York Times – was plastered across the the web and attached to emails. In 2012, “gif” was dubbed word of the year by Oxford American Dictionaries. The next year, the New York Times called the format “the aesthetic calling card of modern Internet culture”.

That year, Wilhite received a Webby lifetime achievement award. Called to the stage, he maintained a poker face as he delivered an acceptance “speech” in an appropriate format:

Wilhite continued to code for the rest of his life. He was also passionate about model trains, Kathaleen Wilhite told NPR, and the couple were avid campers; he “loved travelling”, his obituary says. Beyond his work and his hobbies, “he was probably one of the kindest, humble men you’ve ever met,” Kathaleen Wilhite told the radio network. “People loved him and respected his work, and that would mean more to him than anything is how they respected what he did … I miss him more than anyone could imagine.”


Tributes poured in on his obituary page. “You changed the way we converse as a society, and immortalized countless moments that would otherwise be fleeting,” wrote one well-wisher. “Thank you for helping the modern world take shape,” wrote another.

Giphy offered a tribute of its own, hailing “the simplicity of the format, the power of the looping image. We are indebted to the creativity and vision of Mr Wilhite.”

For those who’d like to honor Wilhite’s memory themselves, there are plenty of gifs that pay tribute to their inventor. Perhaps even better, you can heed his unequivocal advice: pronounce it “jif”.",https://www.theguardian.com/technology/2022/mar/24/stephen-wilhite-gif-inventor-dies,3/24/2022
1,The Guardian,Microplastics found in human blood for first time,C,"Exclusive: The discovery shows the particles can travel around the body and may lodge in organs

Microplastic pollution has been detected in human blood for the first time, with scientists finding the tiny particles in almost 80% of the people tested.

The discovery shows the particles can travel around the body and may lodge in organs. The impact on health is as yet unknown. But researchers are concerned as microplastics cause damage to human cells in the laboratory and air pollution particles are already known to enter the body and cause millions of early deaths a year.

Huge amounts of plastic waste are dumped in the environment and microplastics now contaminate the entire planet, from the summit of Mount Everest to the deepest oceans. People were already known to consume the tiny particles via food and water as well as breathing them in, and they have been found in the faeces of babies and adults.

The scientists analysed blood samples from 22 anonymous donors, all healthy adults and found plastic particles in 17. Half the samples contained PET plastic, which is commonly used in drinks bottles, while a third contained polystyrene, used for packaging food and other products. A quarter of the blood samples contained polyethylene, from which plastic carrier bags are made.

“Our study is the first indication that we have polymer particles in our blood – ​it’s a breakthrough result,” said Prof Dick Vethaak, an ecotoxicologist at Vrije Universiteit Amsterdam in the Netherlands. “But we have to extend the research and increase the sample sizes, the number of polymers assessed, etc.” Further studies by a number of groups are already under way, he said.

“It is certainly reasonable to be concerned,” Vethaak told the Guardian. “The particles are there and are transported throughout the body.” He said previous work had shown that microplastics were 10 times higher in the faeces of babies compared with adults and that babies fed with plastic bottles are swallowing millions of microplastic particles a day.

“We also know in general that babies and young children are more vulnerable to chemical and particle exposure,” he said. “That worries me a lot.”

The new research is published in the journal Environment International and adapted existing techniques to detect and analyse particles as small as 0.0007mm. Some of the blood samples contained two or three types of plastic. The team used steel syringe needles and glass tubes to avoid contamination, and tested for background levels of microplastics using blank samples.

Advertisement

Vethaak acknowledged that the amount and type of plastic varied considerably between the blood samples. “But this is a pioneering study,” he said, with more work now needed. He said the differences might reflect short-term exposure before the blood samples were taken, such as drinking from a plastic-lined coffee cup, or wearing a plastic face mask.

“The big question is what is happening in our body?” Vethaak said. “Are the particles retained in the body? Are they transported to certain organs, such as getting past the blood-brain barrier?” And are these levels sufficiently high to trigger disease? We urgently need to fund further research so we can find out.”

The new research was funded by the Dutch National Organisation for Health Research and Development and Common Seas, a social enterprise working to reduce plastic pollution.

“Plastic production is set to double by 2040,” said Jo Royle, founder of the charity Common Seas. “We have a right to know what all this plastic is doing to our bodies.” Common Seas, along with more than 80 NGOs, scientists and MPs, are asking the UK government to allocate £15m to research on the human health impacts of plastic. The EU is already funding research on the impact of microplastic on foetuses and babies, and on the immune system.

A recent study found that microplastics can latch on to the outer membranes of red blood cells and may limit their ability to transport oxygen. The particles have also been found in the placentas of pregnant women, and in pregnant rats they pass rapidly through the lungs into the hearts, brains and other organs of the foetuses.

A new review paper published on Tuesday, co-authored by Vethaak, assessed cancer risk and concluded: “More detailed research on how micro- and nano-plastics affect the structures and processes of the human body, and whether and how they can transform cells and induce carcinogenesis, is urgently needed, particularly in light of the exponential increase in plastic production. The problem is becoming more urgent with each day.”",https://www.theguardian.com/environment/2022/mar/24/microplastics-found-in-human-blood-for-first-time,3/24/2022
2,NBC News,"U.S. to take in 100,000 refugees; Biden says Russia should be removed from G-20",C,"Coverage on this live blog has ended, please click here for the latest developments.

The U.S. has announced new sanctions against Russia and said it would welcome 100,000 refugees fleeing the war in Ukraine as President Joe Biden met with world leaders for a series of emergency summits.

The war has caused a humanitarian and refugee crisis, with more than 10 million people displaced, including 4.3 million children — more than half of the country's child population, according to the U.N.

Biden said Thursday that Russia should be removed from the G-20, the group that represents 20 of the world's largest economies, as Western allies gathered in Europe to discuss new support for Kyiv.

That includes imposing further punishment on Moscow one month after Russian President Vladimir Putin launched Europe's biggest conflict since World War II.

Ukrainian President Volodymyr Zelenskyy urged an increase in military aid for his country in an address at the NATO summit in Brussels via video link. His ability to rally countries to Kyiv’s cause in video messages from the capital has served as a symbol of Ukraine’s defiant defense and Russia’s struggling advance.

Biden and U.S. allies were also set to discuss moves to bolster NATO’s eastern flank and how to counter the prospect of escalation from the Kremlin amid fears of a chemical or even nuclear attack.

The White House has established a team of national security officials to plan scenarios should Putin use chemical weapons, a senior administration official said.",https://www.nbcnews.com/news/world/ukraine-russia-war-live-updates-biden-meets-nato-allies-war-n1293013,3/25/2022
3,NBC News,U.S. also announces new sanctions against Russia as Biden meets with world leaders for a series of emergency summits,C,"Coverage on this live blog has ended, please click here for the latest developments.

The U.S. has announced new sanctions against Russia and said it would welcome 100,000 refugees fleeing the war in Ukraine as President Joe Biden met with world leaders for a series of emergency summits.

The war has caused a humanitarian and refugee crisis, with more than 10 million people displaced, including 4.3 million children — more than half of the country's child population, according to the U.N.

Biden said Thursday that Russia should be removed from the G-20, the group that represents 20 of the world's largest economies, as Western allies gathered in Europe to discuss new support for Kyiv.

That includes imposing further punishment on Moscow one month after Russian President Vladimir Putin launched Europe's biggest conflict since World War II.

Ukrainian President Volodymyr Zelenskyy urged an increase in military aid for his country in an address at the NATO summit in Brussels via video link. His ability to rally countries to Kyiv’s cause in video messages from the capital has served as a symbol of Ukraine’s defiant defense and Russia’s struggling advance.

Biden and U.S. allies were also set to discuss moves to bolster NATO’s eastern flank and how to counter the prospect of escalation from the Kremlin amid fears of a chemical or even nuclear attack.

The White House has established a team of national security officials to plan scenarios should Putin use chemical weapons, a senior administration official said.",https://www.nbcnews.com/news/world/live-blog/ukraine-russia-war-live-updates-biden-meet-nato-allies-n1292873,3/25/2022
4,NBC News,"Almost 2 in 5 Covid-19 researchers have faced harassment, survey finds",C,"Harassment of researchers and public health officials during the pandemic has become a growing concern and a focus for professional organizations.

Nearly 2 in 5 Covid-19 researchers reported they had been harassed since the pandemic began, according to a new survey published Thursday in Science.

The survey included responses from 510 researchers who have published about Covid-19 and was conducted by the news team of the journal Science. 

The survey, which has not gone through a peer review process, found that 38 percent of those researchers had experienced harassment of some kind. Before the pandemic, 71 percent of respondents said they received less harassment or no abuse at all. 

Researchers reported personal insults and attacks on their professional capabilities as the most common types of harassment. Other types of abuse — such as threats of harm, physical intimidation and doxxing — were reported more rarely. Eighteen scientists — about 3.5 percent of those surveyed — said they received death threats. 

Scientists with public stances on politicized topics — including those against the use of the drug ivermectin — were more likely to experience harassment, the Science analysis suggested. 

Science asked nearly 9,600 researchers for their perspective, and it’s possible the results are skewed by those who chose to respond. 

Harassment of researchers and public health officials during the pandemic has become a growing concern and a focus for professional organizations.

A survey by Nature, which included responses from 321 researchers who discussed Covid-19 in the media, found that 81 percent reported receiving personal attacks, 22 percent had received threats of physical or sexual violence and 15 percent received death threats.

A Johns Hopkins Bloomberg School of Public Health study published last week found widespread reports of harassment among local public health departments. 

In survey data collected by the National Association of County and City Health Officials, researchers found 57 percent of health departments reported harassment during the first 11 months of the pandemic, with 1,499 unique cases reported.",https://www.nbcnews.com/science/science-news/almost-2-5-covid-19-researchers-faced-harassment-rcna21060,3/24/2022
5,NBC News,Pfizer recalls some high blood pressure drugs over possible cancer risk,C,"The company recalled six lots of its Accuretic tablets, as well as authorized generics distributed by Greenstone.

Pfizer, the pharmaceutical company behind one of the Covid-19 vaccines, recalled certain lots of its high blood pressure medication for containing high levels of nitrosamines, which can lead to increased cancer risk.

The company announced a nationwide recall Monday and said it was pulling six lots of its Accuretic tablets.

It also pulled authorized generics distributed by its Greenstone subsidiary directly to patients — one lot of quinapril and hydrochlorothiazide tablets and four lots of quinapril HCl/ hydrochlorothiazide tablets.

Pfizer said nitrosamines are in food and water, including cured and grilled meats, dairy products and vegetables. But its medication was found to contain levels of nitrosamines that are higher than the acceptable daily intake level.

""Pfizer places the utmost emphasis on patient safety and product quality at every step in the manufacturing and supply chain process,"" the company said in a news release. ""Pfizer has notified direct consignees by letter to arrange for return of any recalled product.""

The lots were distributed nationwide from November 2019 to this month. Pfizer said that it was not aware of any reports of adverse events related to the recall and that the Food and Drug Administration was aware of the situation.

""The products have a safety profile that has been established over 20 years of marketing authorization and through a robust clinical program,"" the company said.

""Pfizer believes the benefit/risk profile of the products remains positive based on currently available data. Although long-term ingestion of N-nitroso-quinapril may be associated with a potential increased cancer risk in humans, there is no immediate risk to patients taking this medication.""

People who have been taking the medication should talk with their doctors about other options.

The presence of nitrosamines in blood pressure drugs has resulted in at least one other recall. In 2019, the FDA expanded a recall to include 32 lots of losartan, a drug sold by Macleods Pharmaceuticals, after they were found to contain unacceptable levels of the compounds.",https://www.nbcnews.com/business/business-news/pfizer-recalls-high-blood-pressure-drugs-possible-cancer-risk-rcna21346,3/24/2022
6,NBC News,Michigan school board president removed after she's accused of beating treasurer,C,"“She grabbed the top of my head and then slammed my head into the table and started punching my head,"" saidLaura MacIntyre, a member and the treasurer of the Flint board.

A Michigan school board president is accused of choking and punching a board member during a meeting before she was removed as the board’s leader, officials said Thursday.

The incident occurred at an otherwise ""mundane"" gathering Wednesday morning in Flint, said Laura MacIntyre, a member and the treasurer of the board, who was leading a meeting about finance issues.

MacIntyre said she was managing the order of comments from board members when Flint Board of Education President Danielle Green exploded.

""Very, very mundane. So mundane I don't even remember what it was that set her off,"" MacIntyre said Thursday.

Green walked to MacIntyre's seat ""and got up right above me, towered over me and started wagging her finger at me,"" MacIntyre said.

""And I stood up, in surprise, to step back from her — at which point she grabbed my throat and started choking me,"" MacIntyre said. ""She grabbed the top of my head and then slammed my head into the table and started punching my head.""

Green did not reply to multiple requests for comment Thursday.

There was no obvious spark for the attack, said school board counsel Charis Lee, a spokeswoman for the district.

""I was just told it was not provoked by individuals who saw it,"" Lee said Thursday.

Later in the day, trustees removed Green as president but not from the board itself.

There's no mechanism to recall a Flint school board member, and only the governor would have such power, Lee and MacIntyre said

A representative for Michigan Gov. Gretchen Whitmer couldn't immediately be reached for comment.

MacIntyre said she was treated by her physician Wednesday and was in concussion protocol Thursday.

“I’m physically in a lot of pain and struggling,” she said.

There have been no arrests, and the incident is being investigated, Flint Police Detective-Sgt. Tyrone Booth said.

""I can't say that an assault” at a school board meeting “was one that I can recall,"" Booth said. ""Obviously, there are emotional issues that a school board discusses, and sometimes temperatures and personal temperatures go up a little. But I can't say that I can recall an assault that's taken place.""

MacIntyre said she'll seek a restraining order against Green. The next school board meeting is set for April 13.

The two board members have known each other for years and have had no friction, MacIntyre said.

""We do not necessarily agree on everything, but we have a working relationship,"" she said. ""There have been disagreements in the past, but nothing, nothing, to warrant this at all.""",https://www.nbcnews.com/news/us-news/michigan-school-board-president-removed-accused-beating-treasurer-rcna21373,3/24/2022
7,NBC News,Native American activist imprisoned for nearly half a century makes push for clemency,C,"Peltier, 77, has been held since 1977 for the deaths of two FBI agents. He maintains his innocence, and supporters say he deserves to be released on compassionate grounds.

Leonard Peltier, the Native American activist who has been imprisoned for nearly half a century for the murders of two FBI agents he has always maintained he didn't commit, is hopeful he'll have a chance to clear his name before he dies.

Peltier, 77, wants President Joe Biden to review his case and grant him clemency so he won't die in prison.

He's not looking for a presidential pardon, because it would be granted for a crime he insists he is innocent of.

Instead, he wants a new trial.

“If I get into court, if the judge is fair, how are they going to answer all of that?” he said of evidence that was withheld from the 1977 proceedings. “I want to get a trial.""

Recent calls from Peltier's supporters and family for him to be released have noted his failing health, including a recent bout of Covid-19.

""They're going to try and make me die here,"" Peltier said by phone Wednesday from his federal prison in Central Florida, his first media interview since 2016. ""I have a last few years, and I got to fight.""

Peltier's family says he is struggling with diabetes, hypertension, partial blindness from a stroke and an abdominal aortic aneurysm and that he tested positive for Covid in late January at the Federal Correctional Complex Coleman’s high-security facility.

Peltier said he was vaccinated against the coronavirus before he tested positive and that his chest, neck and head had hurt for a few days. He got a booster shot after he left 10 days of quarantine, he said.

The roughest part, he said, was being isolated and not receiving adequate care. He felt ""cold,"" and ""the food was bad,"" he said, adding, ""That was worse than getting Covid.""

Having spent years in prison mulling over his case and the various legal rulings, Peltier said there is evidence he'd like to present to show he didn't fire the bullets that killed the agents in a chaotic shootout on the Pine Ridge Indian Reservation in South Dakota in June 1975.

""My lawyer said if I were tried today, they would never get away with it,"" he said.

His attorney, Kevin Sharp, a former federal judge, said Peltier has exhausted his appeals and that there remains no actual process for him to get a new trial unless federal prosecutors decide to reopen the case.

""They wouldn't do that, because there's no evidence to convict him on,"" Sharp said. ""He was convicted on aiding and abetting murder, but who did he aid and abet? His co-defendants were acquitted based on self-defense.""

Over the decades, criminal justice reform advocates have continued to highlight his arrest and conviction, saying it symbolizes systemic problems with how Native Americans are treated in the justice system, as well as imprisoned at higher rates by the federal government compared to other racial groups.

Human rights organizations and prominent political and religious figures, including Pope Francis and the Dalai Lama and other Nobel Peace Prize recipients, such as Nelson Mandela and Bishop Desmond Tutu, are reported to have called for Peltier's release.

Peltier's case has drawn scrutiny from those living on the Pine Ridge reservation, as well as members of his tribe, the Turtle Mountain Band of Chippewa. Other Native American activists and groups also believe Peltier is innocent and was made a scapegoat by the federal government in its pursuit to hold someone accountable for the agents' deaths.

But he has consistently been denied parole — in 2009, federal prosecutors said he was ""an unrepentant, cold-blooded murderer"" — and he isn't eligible again until 2024. In October, 11 members of Congress petitioned the Biden administration to grant clemency based on compassionate grounds.

Rep. Raúl Grijalva, D-Ariz., a clemency supporter, said he spoke with Peltier by phone after he learned Peltier had Covid. Grijalva's office said last month that Peltier described ""difficulties receiving adequate medical attention and gaining access to basic needs, like water.""

The Justice Department's Bureau of Prisons declined to comment on Peltier's case, citing privacy and security reasons. It said that it makes ""every effort"" to ensure the safety of inmates and that at Coleman, every inmate is given access to drinking water, adequate medical care and food.

Sharp said he believes Peltier's age, health and recent illness make him a prime candidate for release and that his clean and nonviolent prison record also indicates he isn't a threat to the public.

The number of inmates with Covid at federal prisons reached its peak around the time Peltier contracted the coronavirus, with close to 10,000 of them testing positive, according to Justice Department data. Active cases have dropped to about 100 this week, but Sharp believes Peltier is still at risk.

""Leonard Peltier is incapable of protecting himself. And if you're not going to do it, BOP, let him go home,"" Sharp said, referring to the Bureau of Prisons. ""This is where justice and mercy meet. Grant him clemency and send him home.""

It's unclear how familiar Biden is with Peltier's case, which has spawned hundreds of pages of FBI files; several books, including his own memoir, published in 1999; and the 1992 documentary ""Incident at Oglala,"" which was narrated by Robert Redford.

The FBI said in a statement Thursday that it remains ""resolute against the commutation of Leonard Peltier's sentence"" and that ""we must never forget or put aside that Peltier intentionally and mercilessly murdered these two young men and has never expressed remorse for his ruthless actions.""

The White House did not respond to a request for comment.

Asked in January whether Biden was reviewing a request to commute Peltier's sentence, White House press secretary Jen Psaki told reporters, ""I don't have anything to predict for you.""

In recent weeks, Democrats have tried to appeal to Biden. The Democratic National Committee's Native American Caucus wrote in a letter last week that Peltier's continued incarceration ""symbolizes the decades-old racial injustice towards Native Americans,"" HuffPost reported.

The encounter that led Peltier to prison involved a pair of FBI agents, Jack Coler and Ron Williams, who went onto a compound on the Pine Ridge reservation to arrest a man on a federal warrant in connection with the theft of a pair of cowboy boots, according to the agency's investigative files.

Peltier was a member of the American Indian Movement, a grassroots activist organization that began in Minneapolis in the 1960s to challenge police brutality and the oppression of Native Americans' rights. He was at Pine Ridge in 1975 in the wake of a drawn-out protest two years earlier at Wounded Knee, South Dakota, where armed American Indian Movement activists and Oglala Sioux tribal members had occupied the town and clashed with federal law enforcement officers. Two activists were killed.

On the day Coler and Williams were at Pine Ridge, they radioed that they had come under fire. It's unclear who pulled the trigger first; the FBI said the men were in a shootout that lasted 10 minutes. Both men were killed by bullets fired at close range. According to the FBI, Peltier was identified as the only person in possession of a weapon that could fire the type of bullet that killed them.

Dozens of people participated in the gunfight; at trial, two co-defendants were acquitted after they claimed self-defense. When Peltier was tried separately in 1977, no witnesses were presented who could identify him as the shooter, and unbeknown to his defense lawyers at the time, the federal government had withheld a ballistics report indicating the fatal bullets didn't come from his weapon, Sharp said.

""My co-defendants were found not guilty in self-defense, and I'm the one doing all this time,"" Peltier said.

The FBI maintains his conviction was ""rightly and fairly obtained"" and ""has withstood numerous appeals to multiple courts, including the U.S. Supreme Court.""

The incident is seen as an emblematic struggle between Native Americans and the federal government, particularly on Indigenous lands, and it has long rankled Indigenous activists who say the killing of a Native American man in the shootout was never formally investigated.

Over the years, former FBI agents have pushed back against Peltier's claim of innocence and bid for clemency. When Peltier's family sought help from President Bill Clinton, then-FBI Director Louis Freeh wrote in a letter that ""ignoring for a moment, the extreme and remorseless brutality of the acts themselves, our employees see Peltier's crimes as a complete affront to our cherished system of government under the rule of law.""

In a rare public demonstration by members of the FBI, about 500 active and retired agents and staff members marched to the White House to protest any action by Clinton.

But last year, retired federal prosecutor James Reynolds, who supervised Peltier's post-trial sentencing and appeals, broke from the federal government's position.

He wrote in a letter to Biden that ""we were not able to prove that Mr. Peltier personally committed any offense on the Pine Ridge Reservation."" He also underscored a long-held belief that Peltier was treated differently at the time because of a ""broken relationship between Native Americans and the government"" and that he was prosecuted with ""minimal evidence"" that ""I strongly doubt would be upheld in any court today.""

Peltier said Wednesday he was grateful for Reynolds' letter.

""If I could say to him: 'Thank you for finally coming forward. ... I thank you for your courage, and I hope that you can prevent this from ever happening to anyone else.'""

Two of Peltier's adult children said in interviews that they would like a meeting with the White House now so Biden can understand his case and why they believe his release is warranted.

""I know that Joe and Jill Biden are compassionate to the Native peoples,"" said his daughter Kathy Peltier, who lives in Los Angeles. ""I think seeing the family would make them see him as a real person, and we can explain what he's facing so it hits a little harder for them.""

Image: Chauncey Peltier holds Leonard's great-grandson, Brayden Rand.
Chauncey Peltier holds Leonard's great-grandson Brayden Rand.Courtesy of Chauncey Peltier
Kathy Peltier said she had been hopeful that past administrations would listen. But the presidencies of Clinton, George W. Bush, Barack Obama and Donald Trump came and went.

In December 2016, Leonard Peltier's youngest son, Wahacanka Paul Shields-Peltier, died on a trip to Washington, D.C., advocating for his father's release. He was 41.

He died in the waning days of Obama's second term, when the family remained optimistic that the president would grant Peltier clemency.

With the loss of her brother and the realization that her father would never get to see him again, Kathy Peltier was in shock.

Kathy Peltier said that on the day Obama left office after having commuted hundreds of sentences — by far the most of any recent president — she turned off her phone and refused to leave her bedroom.

""I shut out the world,"" she said.

Kathy Peltier, 46, has known her father only as a federal prisoner. She said it has been difficult to come to terms with how he has missed out on his family's lives. He has six surviving children and a dozen great-grandchildren.

Peltier's oldest son, Chauncey Peltier, 56, who lives in Oregon, previously saw his father in 2015, when he visited him in prison. To channel his emotions, Leonard Peltier took up oil painting featuring Native American themes and iconography.

""The family prays every day and hopes he gets to go home, but some of us aren't hopeful it will ever happen,"" he said. ""In his children's eyes, Leonard wasn't the only one robbed.""

Leonard Peltier hasn't painted in a couple of years amid Covid restrictions in prison. But, he said, the art studio will be opening up again, and he hopes to pick up a brush in the next week.

To all of his supporters, including those who have helped with his legal defense, he said, he is thankful they haven't forgotten him and hopes their messages to the White House are heard.

""One of the elders, when I was convicted and I was going to leave the courtroom, she stood by the railing and said: 'They don't know who they did this to. We will be here the rest of our lives,'"" Peltier said. ""And they have been.

""I would love to go home,"" he added. ""My family wants to take care of me. My tribe wants to take care of me.""
",https://www.nbcnews.com/news/us-news/leonard-peltier-imprisoned-native-american-activist-new-message-biden-rcna19731,3/24/2022
8,NBC News,McConnell to vote against Jackson's Supreme Court nomination,C,,https://www.nbcnews.com/politics/congress/mcconnell-vote-jacksons-supreme-court-nomination-rcna21460,3/24/2022
9,NBC News,Arizona Legislature passes 15-week abortion ban,C,"The bill now goes to Republican Gov. Doug Ducey, who has signed every piece of anti-abortion legislation that has reached his desk since he took office in 2015.
PHOENIX — The Arizona Legislature on Thursday joined the growing list of Republican-led states to pass aggressive anti-abortion legislation as the conservative U.S. Supreme Court is considering ratcheting back abortion rights that have been in place for nearly 50 years.

The House voted on party lines to outlaw abortion after 15 weeks of pregnancy, mirroring a Mississippi law now being considered by the nation’s high court.

The bill explicitly says it does not overrule a state law in place for more than 100 years that would ban abortion outright if the Supreme Court overrules Roe v. Wade, the 1973 case that enshrined the right to abortion in law.

The bill now goes to Republican Gov. Doug Ducey, an abortion opponent who has signed every piece of anti-abortion legislation that has reached his desk since he took office in 2015.

Florida lawmakers have passed a similar 15-week abortion ban early this month that Republican Gov. Ron DeSantis is expected to sign. A bill in West Virginia failed to pass the state Senate by the time its legislative session ended earlier this month after passing the House.

An Arizona proposal that would outlaw abortion after about six weeks has not advanced. A bill enacted in Texas last year allows private citizens to enforce the ban, and the Supreme Court refused to block it. Idaho’s governor signed a copycat bill this week. Those measures are unique in that they allow private citizens to file civil lawsuits against anyone who helps someone else get an abortion after six weeks. It has made legal challenges difficult because the government is not involved in enforcement.

The Arizona 15-week abortion ban bill contains no exceptions for rape or incest or for a medical emergency.

“I am becoming more frightened by the moment by this bill,” Democratic Rep. Mitzi Epstein said during Thursday’s floor debate. “I’m terrified that this bill would outlaw health care for a woman having a naturally occurring and tragic and horrible miscarriage and they would not be allowed to get this health care.”

Republican backers said little during the floor debate.

Minority Democrats have said the measure is unconstitutional and that any ban would disproportionately impact poor and minority women who won’t be able to travel to states without strict abortion laws.

But Sen. Nancy Barto, the Republican sponsor of the bill, has said she hopes the high court upholds Mississippi’s law banning abortion after 15 weeks.

“The state has an obligation to protect life, and that is what this bill is about,” Barto said during Senate debate last month.

The debate and vote on the 15-week abortion ban came the same morning that the House also debated a ban on transgender girls from playing on the high school or college sports team that aligns with their gender identity. The House voted Thursday to pass a bill banning gender reassignment surgery for anyone younger than 18.

Arizona already has some of the nation’s most restrictive abortion laws, including one that would automatically outlaw it if the high court fully overturns Roe.

Republicans hope to put the 15-week ban in place so it takes effect quickly if the Supreme Court further limits abortion rights but stops short of fully overturning Roe. The measure closely mirrors the Mississippi law.

Under current abortion rulings, abortion is legal until the point a fetus can survive outside the womb, which is usually around 24 weeks.

Barto’s bill would make it a crime for a doctor to perform an abortion after 15 weeks but would prohibit the prosecution of pregnant people for receiving one. Doctors could face felony charges and lose their license to practice medicine. There is an exception for cases when the mother is at risk of death or serious permanent injury, but not for instances of rape or incest.

Of the 13,186 abortions performed in Arizona in 2020, 636 were after 15 weeks of pregnancy, according to the latest data from the Arizona Department of Health Services.",https://www.nbcnews.com/politics/politics-news/arizona-legislature-passes-15-week-abortion-ban-rcna21478,3/24/2022
